ms_id,name,target_date,status,depends_on,note
MS-001,EPI03对话同步完成,2026-04-07,进行中,,52个MD->JSON + 3处体验问题修复
MS-002,新策划入职+熟悉期,2026-04-12,未开始,,读文档+玩demo
MS-003,EPI04人物+场景设计定稿,2026-04-14,未开始,"[""MS-001""]",7-10份人物+10-14份场景MD
MS-004,EPI04美术参考移交,2026-04-14,未开始,"[""MS-003""]",
MS-005,旧程序交接完成,2026-04-14,进行中,,仅2周窗口
MS-006,EPI03配置表生成+验证,2026-04-18,未开始,"[""MS-001""]",
MS-007,[程序] 交接+P0核心修复+字幕+电话,2026-04-25,未开始,"[""MS-005""]",10项P0修复
MS-008,[美术] EPI03美术完工,2026-04-26,进行中,,~296张资产
MS-009,EPI04指证+疑点+鉴赏力+小玩法,2026-04-28,未开始,"[""MS-003""]",
MS-010,EPI05故事提炼+大纲,2026-05-05,未开始,,五一假期
MS-011,EPI04 State完成,2026-05-12,未开始,"[""MS-009""]",
MS-012,[美术] EPI02美术完工,2026-05-14,未开始,,~356张资产
MS-013,[程序] Demo体验完整,2026-05-23,未开始,"[""MS-007""]",
MS-014,EPI04对话完成,2026-05-26,未开始,"[""MS-011""]",
MS-015,EPI05设计文档定稿,2026-05-26,未开始,"[""MS-010""]",
MS-016,EPI05 State完成,2026-06-02,未开始,"[""MS-015""]",
MS-017,[美术] EPI04美术完工,2026-06-04,未开始,"[""MS-004""]",
MS-018,[程序] 指证优化+EPI02小玩法+EPI03冒烟,2026-06-06,未开始,"[""MS-013""]",
MS-019,内容截止: 五章设计+State+EPI01-04对话,2026-06-08,未开始,,策划侧硬截止
MS-020,[程序] 跨章节存档+EPI04冒烟+特效框架,2026-06-20,未开始,"[""MS-018""]",
MS-021,EPI05对话完成,2026-06-22,未开始,"[""MS-016""]",
MS-022,[美术] EPI05美术完工,2026-06-28,未开始,,
MS-023,最终验收: 五章全部交付可通关,2026-06-30,未开始,"[""MS-019"", ""MS-021"", ""MS-022"", ""MS-020""]",6/30总截止
MS-V01,EPI03 Beta（美术齐全，完整可玩）,2026-04-28,未开始,"[""MS-001"", ""MS-008""]",Alpha/Beta/RC/Gold 版本里程碑
MS-V02,EPI04 Alpha（核心流程可通关，占位符）,2026-05-10,未开始,"[""MS-011"", ""MS-014""]",配表+对话就绪即可测试
MS-V03,EPI04 Beta（美术齐全，可完整体验）,2026-05-28,未开始,"[""MS-V02"", ""MS-017""]",美术到位后完整体验版本
MS-V04,EPI05 Alpha（核心流程可通关，占位符）,2026-06-10,未开始,"[""MS-016"", ""MS-021""]",配表+对话就绪即可测试
MS-V05,全章 RC（P0清零，准备发布）,2026-06-20,未开始,"[""MS-V03"", ""MS-V04"", ""MS-020""]",Release Candidate，只做 hotfix
MS-V06,Gold Master（最终交付）,2026-06-30,未开始,"[""MS-V05"", ""MS-022""]",6/30 总截止，五章可通关
